rank,presenter,title,score
1,Haokai,#prochoice or #prolife? Discovering Topic-Sensitive Opinion Bias in Social Media,5.0
1,Mani Zandifar,The STAPL Skeleton Framework,5.0
2,Ajit Jain,A Twitter Extension Promotes Exploratory Browsing,4.8
2,Folami Alamudun,"Fractal Analysis of Radiologists' Ocular search pattern in Mammography""",4.8
3,Dharanidhar Dang,Mode-Multiplexed Photonic Router for High Performance Network-on- Chip,4.6
3,Suinn Park,PerCon : A Personal Digital Library for Heterogeneous Data,4.6
4,Michael Fu,Timing Integrity Check of GPSSignal - Models and Computing Algorithm,3.8666666666666667
5,Vijay Rajanna,Step Up Ufe: A Context Aware Health Assistant,3.0
5,Brittany Duncan,Timing Integrity Check of GPS Signal - Models and Computing Algorithms,3.0
6,Adam Fidel,From Petascale to the Pocket: Adaptively Scaling Parallel Programs for Mobile SoCs,2.8
7,Ralph Crosby,Quartet Distance Computation for sets of Heterogeneous Trees,1.6
8,Harshvardhan,Processing Big Data Graphs on Memory-Restricted Systems,1.2
9,Stephanie Valentine,KidGab: A Sketch-Based Social Network for Teaching Digital Citizenship & Improving School Climate,1.0
9,Tyler Biehle,Unordered Associative Containers in STAPL,1.0
10,Jory Denny,A Region-Based Strategy for Collaborative Roadmap Construction,-1
10,Mukulika Ghosh,Fast Approximate Convex Decomposition,-1
10,Cindy Yeh,UOBPRM: A Uniformly Distributed Obstacle-Based PRM,-1
10,Chinwe Ekenna,Spatial Neighbor Learning in Motion Planning,-1
10,Tian Lan,Flappy Voice: An Interactive Game for Childhood Apraxia of Speech Therapy,-1
10,Troy McMahon,Sampling Based Motion Planning With Reachable Volumes: Application to Manipulators and Closed Chains,-1
10,Sampath Jayarathna,"You might also like ..."" from Everyday Applications to Recommendations",-1
